 1 2 3 4 5 6 7 8 9 0 1 2 3 4
   1 2 3 4 6 5 7 8                                                                                                                                               5.569 2416 2416 0 2261 [0.5, 0.57, 0.61, 0.7, 0.76, 0.74, 0.83, 0.85]
 1   3 2 5 4 6 8   7                                                                                                                                             5.541 2413 2413 0 2261 [0.5, 0.61, 0.57, 0.74, 0.69, 0.76, 0.85, 0.83]
 2 3   1 7 5 4   6 8                                                                                                                                             5.05 2366 2366 0 2263 [0.54, 0.43, 0.43, 0.71, 0.68, 0.81, 0.63, 0.81]
 3 2 1   6 7 8   4 5                                                                                                                                             4.697 2335 2335 0 2267 [0.46, 0.39, 0.39, 0.78, 0.79, 0.59, 0.64, 0.67]
 4 5 7 6   1 2 3     8                                                                                                                                           3.927 2272 2272 0 2278 [0.55, 0.58, 0.68, 0.3, 0.31, 0.41, 0.37, 0.72]
 6 4 5 7 1   3 2       8                                                                                                                                         3.509 2235 2235 0 2281 [0.45, 0.63, 0.53, 0.26, 0.32, 0.26, 0.36, 0.69]
 5 6 4 8 2 3   1     7                                                                                                                                           3.235 2213 2213 0 2286 [0.6, 0.42, 0.47, 0.29, 0.24, 0.24, 0.65, 0.33]
 7 8     3 2 1   5 4 6                                                                                                                                           3.062 2141 2141 0 2235 [0.4, 0.37, 0.32, 0.55, 0.54, 0.55, 0.17, 0.17]
 8   6 4       5   1 2 3 7                                                                                                                                       3.11 2113 2113 0 2206 [0.51, 0.51, 0.53, 0.22, 0.46, 0.19, 0.55, 0.15]
   7 8 5       4 1   3 2 6                                                                                                                                       3.068 2109 2109 0 2206 [0.49, 0.52, 0.5, 0.45, 0.21, 0.55, 0.15, 0.19]
         8   7 6 2 3   1 4 5                                                                                                                                     3.706 2108 2108 0 2135 [0.52, 0.49, 0.5, 0.55, 0.56, 0.45, 0.35, 0.28]
           8     3 2 1   5 4 6   7                                                                                                                               3.939 2093 2093 0 2099 [0.48, 0.48, 0.47, 0.54, 0.52, 0.56, 0.58, 0.31]
                 7 6 4 5   1 2 3 8                                                                                                                               3.981 2076 2076 0 2078 [0.52, 0.54, 0.54, 0.45, 0.48, 0.45, 0.45, 0.55]
                     5 4 1   3 2 6 7 8                                                                                                                           4.063 2065 2065 0 2060 [0.48, 0.53, 0.52, 0.46, 0.44, 0.54, 0.54, 0.55]
                       6 2 3   1 4 5 7 8                                                                                                                         3.967 2048 2048 0 2051 [0.5, 0.46, 0.48, 0.51, 0.52, 0.44, 0.52, 0.54]
                         3 2 1   5 4 6 7 8                                                                                                                       4.073 2046 2046 0 2040 [0.5, 0.47, 0.46, 0.52, 0.51, 0.52, 0.53, 0.56]
                       7 8 6 4 5   1 2 3                                                                                                                         3.851 2039 2039 0 2052 [0.51, 0.51, 0.52, 0.49, 0.49, 0.46, 0.42, 0.45]
                           7 5 4 1   3 2 6   8                                                                                                                   4.073 2035 2035 0 2029 [0.49, 0.52, 0.51, 0.48, 0.48, 0.55, 0.46, 0.58]
                           8 7 6 2 3   1 4 5                                                                                                                     4.01 2031 2031 0 2030 [0.51, 0.49, 0.49, 0.54, 0.57, 0.48, 0.48, 0.45]
                             8 7 3 2 1   5 4 6                                                                                                                   4.02 2022 2022 0 2020 [0.49, 0.48, 0.48, 0.55, 0.53, 0.56, 0.47, 0.46]
                               8   6 4 5   1 2 3 7                                                                                                               4.02 2001 2001 0 1999 [0.52, 0.53, 0.57, 0.46, 0.47, 0.45, 0.58, 0.44]
                                     5 4 1   3 2 6 7 8                                                                                                           4.131 1985 1985 0 1974 [0.48, 0.54, 0.51, 0.45, 0.43, 0.56, 0.57, 0.59]
                                   8   6 2 3   1 4 5 7                                                                                                           4.023 1977 1977 0 1975 [0.53, 0.47, 0.49, 0.55, 0.56, 0.44, 0.58, 0.42]
                                         3 2 1   5 4 6 7 8                                                                                                       4.089 1954 1954 0 1946 [0.47, 0.46, 0.43, 0.53, 0.51, 0.54, 0.57, 0.58]
                                         7 6 4 5   1 2 3   8                                                                                                     3.962 1944 1944 0 1947 [0.51, 0.53, 0.55, 0.45, 0.49, 0.44, 0.42, 0.57]
                                           7 5 4 1   3 2 6       8                                                                                               4.022 1936 1936 0 1934 [0.49, 0.54, 0.52, 0.47, 0.44, 0.56, 0.43, 0.57]
                                           8 7 6 2 3   1 4 5                                                                                                     3.84 1923 1923 0 1937 [0.52, 0.47, 0.48, 0.54, 0.54, 0.46, 0.42, 0.41]
                                               7 3 2 1   5 4 6     8                                                                                             3.897 1907 1907 0 1916 [0.48, 0.46, 0.45, 0.52, 0.51, 0.52, 0.43, 0.53]
                                               8   6 4 5   1 2 3 7                                                                                               3.846 1897 1897 0 1910 [0.5, 0.51, 0.51, 0.46, 0.49, 0.44, 0.52, 0.42]
                                                 8   5 4 1   3 2 6 7                                                                                             3.92 1896 1896 0 1903 [0.5, 0.51, 0.5, 0.48, 0.46, 0.51, 0.52, 0.43]
                                                       6 2 3   1 4 5 8 7                                                                                         4.037 1893 1893 0 1890 [0.51, 0.49, 0.5, 0.51, 0.51, 0.48, 0.52, 0.52]
                                                         3 2 1   5 4 6 8 7                                                                                       4.037 1889 1889 0 1886 [0.49, 0.49, 0.49, 0.51, 0.5, 0.51, 0.53, 0.52]
                                                   8     7 6 4 5   1 2 3                                                                                         3.906 1886 1886 0 1894 [0.5, 0.51, 0.51, 0.49, 0.5, 0.49, 0.48, 0.43]
                                                       8   7 5 4 1   3 2 6                                                                                       3.971 1885 1885 0 1888 [0.5, 0.51, 0.51, 0.49, 0.49, 0.52, 0.48, 0.47]
                                                             8 6 2 3   1 4 5 7                                                                                   4.054 1880 1880 0 1875 [0.5, 0.49, 0.49, 0.51, 0.54, 0.49, 0.55, 0.48]
                                                             7 8 3 2 1   5 4 6                                                                                   4.029 1878 1878 0 1876 [0.5, 0.49, 0.49, 0.54, 0.51, 0.54, 0.48, 0.48]
                                                               7   6 4 5   1 2 3 8                                                                               4.079 1871 1871 0 1864 [0.53, 0.53, 0.54, 0.49, 0.49, 0.48, 0.47, 0.55]
                                                                     5 4 1   3 2 6 7 8                                                                           3.996 1852 1852 0 1852 [0.47, 0.51, 0.51, 0.46, 0.46, 0.52, 0.53, 0.53]
                                                                     7 6 2 3   1 4 5   8                                                                         3.946 1848 1848 0 1853 [0.5, 0.47, 0.49, 0.52, 0.52, 0.46, 0.45, 0.53]
                                                                         3 2 1   5 4 6 7 8                                                                       4.081 1846 1846 0 1839 [0.5, 0.49, 0.46, 0.52, 0.52, 0.53, 0.53, 0.54]
                                                                         8 6 4 5   1 2 3 7                                                                       3.938 1835 1835 0 1840 [0.5, 0.51, 0.51, 0.48, 0.48, 0.48, 0.52, 0.45]
                                                                           7 5 4 1   3 2 6 8                                                                     4.01 1833 1833 0 1832 [0.5, 0.51, 0.51, 0.48, 0.48, 0.52, 0.47, 0.54]
                                                                           8   6 2 3   1 4 5 7                                                                   4.014 1828 1828 0 1827 [0.5, 0.49, 0.49, 0.51, 0.54, 0.47, 0.54, 0.47]
                                                                             8 7 3 2 1   5 4 6                                                                   4.007 1827 1827 0 1826 [0.5, 0.49, 0.49, 0.53, 0.51, 0.54, 0.47, 0.47]
                                                                               8 7 6 4 5   1 2 3                                                                 3.966 1818 1818 0 1821 [0.52, 0.53, 0.53, 0.49, 0.49, 0.48, 0.48, 0.46]
                                                                                   8 5 4 1   3 2 6 7                                                             3.907 1803 1803 0 1811 [0.48, 0.51, 0.5, 0.47, 0.46, 0.51, 0.51, 0.46]
                                                                                     7 6 2 3   1 4 5 8                                                           3.934 1800 1800 0 1806 [0.51, 0.47, 0.5, 0.51, 0.51, 0.46, 0.46, 0.52]
